Team #,CMP,Event,P(DCMP),P(CMP)
4,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.25424,0.0380922
8,2026cancmp,"FIRST California Northern State Championship",0.98388,0.470193
22,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.0698301,0.00344544
100,2026cancmp,"FIRST California Northern State Championship",0.197077,0.0235397
840,2026cancmp,"FIRST California Northern State Championship",0.982567,0.408113
670,2026cancmp,"FIRST California Northern State Championship",0.379301,0.0511546
980,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.336548,0.0432677
701,2026cancmp,"FIRST California Northern State Championship",0.218992,0.0518863
841,2026cancmp,"FIRST California Northern State Championship",0.673959,0.116644
751,2026cancmp,"FIRST California Northern State Championship",0.152842,0.0274682
971,2026cancmp,"FIRST California Northern State Championship",1,0.61825
581,2026cancmp,"FIRST California Northern State Championship",1,0.744528
691,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.0533921,0.00283288
702,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.553512,0.0459883
812,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.24499,0.0230668
852,2026cancmp,"FIRST California Northern State Championship",0.197213,0.019535
972,2026cancmp,"FIRST California Northern State Championship",0.961983,0.31077
192,2026cancmp,"FIRST California Northern State Championship",0.784031,0.158394
253,2026cancmp,"FIRST California Northern State Championship",0.993182,0.468898
973,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",1,0.773778
604,2026cancmp,"FIRST California Northern State Championship",1,0.773778
114,2026cancmp,"FIRST California Northern State Championship",1,0.577353
254,2026cancmp,"FIRST California Northern State Championship",1,0.945122
294,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.749902,0.255127
115,2026cancmp,"FIRST California Northern State Championship",0.655264,0.10767
846,2026cancmp,"FIRST California Northern State Championship",0.650407,0.25481
766,2026cancmp,"FIRST California Northern State Championship",0.102702,0.00882897
696,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.749951,0.258635
867,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.124747,0.0149772
687,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.518381,0.132444
597,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.378164,0.0586028
668,2026cancmp,"FIRST California Northern State Championship",0.0751825,0.00609303
968,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.0949088,0.00628632
649,2026cancmp,"FIRST California Northern State Championship",0.552478,0.0844675
589,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",1,0.500174
199,2026cancmp,"FIRST California Northern State Championship",0.203347,0.0455995
399,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.725328,0.0715652
599,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.995248,0.312216
6000,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.230994,0.0235229
9400,2026cancmp,"FIRST California Northern State Championship",0.320211,0.0649183
5500,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.027661,0.00129179
1700,2026cancmp,"FIRST California Northern State Championship",0.197213,0.019535
5700,2026cancmp,"FIRST California Northern State Championship",0.37505,0.0510313
6410,2026cancmp,"FIRST California Northern State Championship",0,0
2710,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.833617,0.114639
3020,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.0667105,0.00277201
6220,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.154722,0.0112014
9520,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.0831681,0.00436027
7230,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.571392,0.115336
5430,2026cancmp,"FIRST California Northern State Championship",0.122651,0.0145648
9730,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.123322,0.00893928
8840,2026cancmp,"FIRST California Northern State Championship",0.143338,0.0143646
5940,2026cancmp,"FIRST California Northern State Championship",1,0.806679
6060,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.871421,0.1643
8060,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.0831681,0.00436027
