Team #,CMP,Event,P(DCMP),P(CMP)
4,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",1,0.0865954
8,2026cancmp,"FIRST California Northern State Championship",1,0.790553
22,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0,0
100,2026cancmp,"FIRST California Northern State Championship",0,0
840,2026cancmp,"FIRST California Northern State Championship",1,0.136879
670,2026cancmp,"FIRST California Northern State Championship",1,0.0865954
980,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0,0
701,2026cancmp,"FIRST California Northern State Championship",1,0.0776552
841,2026cancmp,"FIRST California Northern State Championship",1,0.575965
751,2026cancmp,"FIRST California Northern State Championship",0,0
971,2026cancmp,"FIRST California Northern State Championship",1,0.286755
581,2026cancmp,"FIRST California Northern State Championship",1,0.915206
691,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0,0
702,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.142857,0.0160932
812,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",1,0.0240083
852,2026cancmp,"FIRST California Northern State Championship",0,0
972,2026cancmp,"FIRST California Northern State Championship",1,0.607113
192,2026cancmp,"FIRST California Northern State Championship",1,0.0663625
253,2026cancmp,"FIRST California Northern State Championship",1,0.20988
973,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",1,0.814785
604,2026cancmp,"FIRST California Northern State Championship",1,0.971638
114,2026cancmp,"FIRST California Northern State Championship",1,0.386843
254,2026cancmp,"FIRST California Northern State Championship",1,0.990427
294,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",1,0.814785
115,2026cancmp,"FIRST California Northern State Championship",1,0.228084
846,2026cancmp,"FIRST California Northern State Championship",1,0.228579
766,2026cancmp,"FIRST California Northern State Championship",1,0.0865954
696,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",1,0.122732
867,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0,0
687,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",1,0.767362
597,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0,0
668,2026cancmp,"FIRST California Northern State Championship",0,0
968,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",1,0.0357685
649,2026cancmp,"FIRST California Northern State Championship",0.5,0.020466
589,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",1,0.0865954
199,2026cancmp,"FIRST California Northern State Championship",0,0
399,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0,0
599,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",1,0.770697
6000,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0,0
9400,2026cancmp,"FIRST California Northern State Championship",1,0.229688
5500,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0,0
1700,2026cancmp,"FIRST California Northern State Championship",0,0
5700,2026cancmp,"FIRST California Northern State Championship",1,0.0297717
6410,2026cancmp,"FIRST California Northern State Championship",0,0
2710,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",1,0.0645073
3020,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0,0
6220,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",1,0.0302065
9520,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0,0
7230,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.142857,0.0160932
