Team #,CMP,Event,P(DCMP)
4,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.244947
8,2026cancmp,FIRST California Northern State Championship,0.62054
22,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.198619
100,2026cancmp,FIRST California Northern State Championship,0.489696
840,2026cancmp,FIRST California Northern State Championship,0.468475
670,2026cancmp,FIRST California Northern State Championship,0.237127
980,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.315151
701,2026cancmp,FIRST California Northern State Championship,0.296053
841,2026cancmp,FIRST California Northern State Championship,0.503445
751,2026cancmp,FIRST California Northern State Championship,0.216799
971,2026cancmp,FIRST California Northern State Championship,0.62054
581,2026cancmp,FIRST California Northern State Championship,0.884844
691,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.181374
702,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.633961
812,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.251117
852,2026cancmp,FIRST California Northern State Championship,0.237127
972,2026cancmp,FIRST California Northern State Championship,0.707645
192,2026cancmp,FIRST California Northern State Championship,0.355755
253,2026cancmp,FIRST California Northern State Championship,0.0942811
973,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.871579
604,2026cancmp,FIRST California Northern State Championship,0.237127
114,2026cancmp,FIRST California Northern State Championship,0.459664
254,2026cancmp,FIRST California Northern State Championship,0.858358
294,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.764333
115,2026cancmp,FIRST California Northern State Championship,0.46194
846,2026cancmp,FIRST California Northern State Championship,0.70495
766,2026cancmp,FIRST California Northern State Championship,0.707645
696,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.717594
867,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.11288
687,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.517853
597,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.358394
668,2026cancmp,FIRST California Northern State Championship,0.459664
968,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.245198
649,2026cancmp,FIRST California Northern State Championship,0.505761
589,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.555123
199,2026cancmp,FIRST California Northern State Championship,0.275448
399,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.245198
599,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.450557
6000,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.215573
9400,2026cancmp,FIRST California Northern State Championship,0.385318
5500,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.251117
1700,2026cancmp,FIRST California Northern State Championship,0.314357
5700,2026cancmp,FIRST California Northern State Championship,0.301438
6410,2026cancmp,FIRST California Northern State Championship,0.294714
2710,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.633961
3020,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.245198
6220,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.145058
9520,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.304976
7230,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.570634
5430,2026cancmp,FIRST California Northern State Championship,0.156722
9730,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.113347
8840,2026cancmp,FIRST California Northern State Championship,0.121922
5940,2026cancmp,FIRST California Northern State Championship,0.858358
6060,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.312675
8060,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.633961
1160,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.564497
4160,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.633961
6560,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.904423
5760,2026cancmp,FIRST California Northern State Championship,0.237127
4470,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.570634
9470,2026cancmp,FIRST California Northern State Championship,0.62054
8870,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.198839
3970,2026cancmp,FIRST California Northern State Championship,0.78187
1280,2026cancmp,FIRST California Northern State Championship,0.235244
4990,2026cancmp,FIRST California Northern State Championship,0.62054
4201,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.586971
3501,2026cancmp,FIRST California Northern State Championship,0.576502
4501,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.502226
9111,2026cancmp,FIRST California Northern State Championship,0.187357
4711,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.633961
8521,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.169679
2141,2026cancmp,FIRST California Northern State Championship,0.169395
4141,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.397466
3341,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.0998592
1351,2026cancmp,FIRST California Northern State Championship,0.599219
2551,2026cancmp,FIRST California Northern State Championship,0.158154
8751,2026cancmp,FIRST California Northern State Championship,1.21655e-06
