Team #,CMP,Event,P(DCMP),P(CMP)
4,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.885854,0.138977
8,2026cancmp,"FIRST California Northern State Championship",0.98314,0.435439
22,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.0441062,0.00210258
100,2026cancmp,"FIRST California Northern State Championship",0.182475,0.0203706
840,2026cancmp,"FIRST California Northern State Championship",0.980743,0.378653
670,2026cancmp,"FIRST California Northern State Championship",1,0.102472
980,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.35601,0.0275712
701,2026cancmp,"FIRST California Northern State Championship",0.184433,0.015584
841,2026cancmp,"FIRST California Northern State Championship",0.636698,0.0972692
751,2026cancmp,"FIRST California Northern State Championship",0.125646,0.0121849
971,2026cancmp,"FIRST California Northern State Championship",1,0.578371
581,2026cancmp,"FIRST California Northern State Championship",1,0.711003
691,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.0369959,0.00197109
702,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.46856,0.0367672
812,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.885854,0.138977
852,2026cancmp,"FIRST California Northern State Championship",0.184433,0.015584
972,2026cancmp,"FIRST California Northern State Championship",0.955271,0.281218
192,2026cancmp,"FIRST California Northern State Championship",0.771098,0.13483
253,2026cancmp,"FIRST California Northern State Championship",0.992091,0.433943
973,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",1,0.741167
604,2026cancmp,"FIRST California Northern State Championship",1,0.741167
114,2026cancmp,"FIRST California Northern State Championship",1,0.542751
254,2026cancmp,"FIRST California Northern State Championship",1,0.935546
294,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.999191,0.435869
115,2026cancmp,"FIRST California Northern State Championship",0.615871,0.0882517
846,2026cancmp,"FIRST California Northern State Championship",0.841321,0.204957
766,2026cancmp,"FIRST California Northern State Championship",0.0977666,0.00764203
696,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.716995,0.241108
867,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.0166108,0.000629964
687,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",1,0.660481
597,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.284239,0.0238959
668,2026cancmp,"FIRST California Northern State Championship",0.0721176,0.00475515
