Team #,CMP,Event,P(DCMP),P(CMP)
4,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",1,0
8,2026cancmp,"FIRST California Northern State Championship",1,1
22,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0,0
100,2026cancmp,"FIRST California Northern State Championship",0,0
840,2026cancmp,"FIRST California Northern State Championship",1,0
670,2026cancmp,"FIRST California Northern State Championship",1,0
980,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0,0
701,2026cancmp,"FIRST California Northern State Championship",1,0
841,2026cancmp,"FIRST California Northern State Championship",1,1
751,2026cancmp,"FIRST California Northern State Championship",0,0
971,2026cancmp,"FIRST California Northern State Championship",1,0
581,2026cancmp,"FIRST California Northern State Championship",1,1
691,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0,0
702,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.142857,0
812,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",1,0
852,2026cancmp,"FIRST California Northern State Championship",0,0
972,2026cancmp,"FIRST California Northern State Championship",1,1
192,2026cancmp,"FIRST California Northern State Championship",1,0
253,2026cancmp,"FIRST California Northern State Championship",1,0
973,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",1,1
604,2026cancmp,"FIRST California Northern State Championship",1,1
114,2026cancmp,"FIRST California Northern State Championship",1,1
254,2026cancmp,"FIRST California Northern State Championship",1,1
294,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",1,1
115,2026cancmp,"FIRST California Northern State Championship",1,0
846,2026cancmp,"FIRST California Northern State Championship",1,0
766,2026cancmp,"FIRST California Northern State Championship",1,0
696,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",1,0
867,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0,0
687,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",1,1
597,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0,0
668,2026cancmp,"FIRST California Northern State Championship",0,0
968,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",1,0
649,2026cancmp,"FIRST California Northern State Championship",0.5,0
589,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",1,0
199,2026cancmp,"FIRST California Northern State Championship",0,0
399,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0,0
599,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",1,1
6000,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0,0
9400,2026cancmp,"FIRST California Northern State Championship",1,0
5500,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0,0
1700,2026cancmp,"FIRST California Northern State Championship",0,0
5700,2026cancmp,"FIRST California Northern State Championship",1,0
6410,2026cancmp,"FIRST California Northern State Championship",0,0
2710,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",1,0
3020,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0,0
6220,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",1,0
9520,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0,0
7230,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.142857,0
5430,2026cancmp,"FIRST California Northern State Championship",0,0
9730,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0,0
8840,2026cancmp,"FIRST California Northern State Championship",0,0
5940,2026cancmp,"FIRST California Northern State Championship",1,1
6060,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0,0
8060,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0,0
1160,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",1,0
4160,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0,0
6560,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0,0
5760,2026cancmp,"FIRST California Northern State Championship",0,0
4470,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0,0
9470,2026cancmp,"FIRST California Northern State Championship",1,1
8870,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0,0
3970,2026cancmp,"FIRST California Northern State Championship",1,1
1280,2026cancmp,"FIRST California Northern State Championship",0,0
4990,2026cancmp,"FIRST California Northern State Championship",1,0
4201,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",1,1
3501,2026cancmp,"FIRST California Northern State Championship",1,0
4501,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0,0
9111,2026cancmp,"FIRST California Northern State Championship",0,0
4711,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0,0
8521,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0,0
