Team #,CMP,Event,P(DCMP),P(CMP)
2102,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",1,0.829104
9202,2026cancmp,"FIRST California Northern State Championship",0,0
5012,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.359675,0.0255943
3512,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",1,0.301935
4322,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.795802,0.0898242
1622,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.042458,0.00187424
6822,2026cancmp,"FIRST California Northern State Championship",0,0
7042,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.909672,0.195674
1452,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.0570718,0.00264211
9452,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",1,0.362465
8852,2026cancmp,"FIRST California Northern State Championship",0.226172,0.0214671
3952,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.395277,0.0332136
6662,2026cancmp,"FIRST California Northern State Championship",0.730553,0.131481
6962,2026cancmp,"FIRST California Northern State Championship",0.971179,0.32908
1072,2026cancmp,"FIRST California Northern State Championship",0.682606,0.101294
6072,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.042458,0.00187424
9772,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0,0
1972,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0,0
3482,2026cancmp,"FIRST California Northern State Championship",0.00198323,0.000110259
7413,2026cancmp,"FIRST California Northern State Championship",0,0
2813,2026cancmp,"FIRST California Northern State Championship",1,0.234154
4123,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",1,0.579008
1323,2026cancmp,"FIRST California Northern State Championship",1,0.996268
7323,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0,0
8033,2026cancmp,"FIRST California Northern State Championship",1,0.161022
8533,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0,0
2543,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.523202,0.0473638
2643,2026cancmp,"FIRST California Northern State Championship",0,0
4643,2026cancmp,"FIRST California Northern State Championship",0,0
3863,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.00776114,0.000438815
2073,2026cancmp,"FIRST California Northern State Championship",0.359199,0.0412254
2473,2026cancmp,"FIRST California Northern State Championship",0.360086,0.0420217
3473,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0,0
9573,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0,0
4973,2026cancmp,"FIRST California Northern State Championship",0.0153535,0.000930345
8793,2026cancmp,"FIRST California Northern State Championship",1,0.146224
5104,2026cancmp,"FIRST California Northern State Championship",1,0.257381
2204,2026cancmp,"FIRST California Northern State Championship",0.932711,0.204869
2404,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.985719,0.211153
8404,2026cancmp,"FIRST California Northern State Championship",0.000379557,1.66159e-05
3704,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.141139,0.00726333
4904,2026cancmp,"FIRST California Northern State Championship",0.185794,0.0191764
6904,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0,0
9114,2026cancmp,"FIRST California Northern State Championship",0.0182021,0.00140285
4414,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",1,0.935467
5514,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.80367,0.103514
6814,2026cancmp,"FIRST California Northern State Championship",0.870415,0.231876
5124,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0,0
5924,2026cancmp,"FIRST California Northern State Championship",0.359199,0.0412254
6934,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0,0
1854,2026cancmp,"FIRST California Northern State Championship",0.00198323,0.000110259
2854,2026cancmp,"FIRST California Northern State Championship",0.0192423,0.00125658
6764,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0,0
4964,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0,0
5274,2026cancmp,"FIRST California Northern State Championship",0.075969,0.00513973
5474,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.84494,0.13524
9084,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",1,0.0959703
2584,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",1,0.117629
9584,2026cancmp,"FIRST California Northern State Championship",0,0
6884,2026cancmp,"FIRST California Northern State Championship",0,0
2984,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.909178,0.0219516
4984,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.267077,0.0175292
6305,2026cancmp,"FIRST California Northern State Championship",1,0.0894771
9505,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0,0
5805,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.84494,0.13524
4415,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",1,0.166691
7415,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",1,0.871215
1515,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.0109281,0.000599322
6515,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.197833,0.0117101
9615,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.0361998,0.00179515
5025,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0,0
9125,2026cancmp,"FIRST California Northern State Championship",0.074082,0.00478529
3925,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.909178,0.0219516
2035,2026cancmp,"FIRST California Northern State Championship",0,0
2135,2026cancmp,"FIRST California Northern State Championship",0.658431,0.0955005
4135,2026cancmp,"FIRST California Northern State Championship",1,0.014382
5835,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.0439663,0.00163156
3045,2026cancmp,"FIRST California Northern State Championship",1,0.312238
8045,2026cancmp,"FIRST California Northern State Championship",0.00545281,0.000345364
7245,2026cancmp,"FIRST California Northern State Championship",0.00424045,0.000364167
