Team #,CMP,Event,P(DCMP)
4,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.21769
8,2026cancmp,FIRST California Northern State Championship,0.597185
22,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.162938
100,2026cancmp,FIRST California Northern State Championship,0.46089
840,2026cancmp,FIRST California Northern State Championship,0.43982
670,2026cancmp,FIRST California Northern State Championship,0.597185
980,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.268593
701,2026cancmp,FIRST California Northern State Championship,0.269579
841,2026cancmp,FIRST California Northern State Championship,0.468691
751,2026cancmp,FIRST California Northern State Championship,0.195414
971,2026cancmp,FIRST California Northern State Championship,0.597185
581,2026cancmp,FIRST California Northern State Championship,0.887021
691,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.147633
702,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.597529
812,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.209687
852,2026cancmp,FIRST California Northern State Championship,0.597185
972,2026cancmp,FIRST California Northern State Championship,0.680143
192,2026cancmp,FIRST California Northern State Championship,0.331897
253,2026cancmp,FIRST California Northern State Championship,0.0804289
973,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.859759
604,2026cancmp,FIRST California Northern State Championship,0.597185
114,2026cancmp,FIRST California Northern State Championship,0.42868
254,2026cancmp,FIRST California Northern State Championship,0.856682
294,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.732524
115,2026cancmp,FIRST California Northern State Championship,0.423094
846,2026cancmp,FIRST California Northern State Championship,0.688262
766,2026cancmp,FIRST California Northern State Championship,0.680143
696,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.688503
867,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.0905536
687,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.479292
597,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.320313
668,2026cancmp,FIRST California Northern State Championship,0.42868
968,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.597529
649,2026cancmp,FIRST California Northern State Championship,0.479209
589,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.512356
199,2026cancmp,FIRST California Northern State Championship,0.248147
399,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.597529
599,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.396139
6000,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.180858
9400,2026cancmp,FIRST California Northern State Championship,0.36155
5500,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.209687
1700,2026cancmp,FIRST California Northern State Championship,0.289716
5700,2026cancmp,FIRST California Northern State Championship,0.280378
6410,2026cancmp,FIRST California Northern State Championship,0.276867
2710,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.597529
