Team #,CMP,Event,P(DCMP)
6662,2026cancmp,FIRST California Northern State Championship,0.16532
6962,2026cancmp,FIRST California Northern State Championship,0.305289
1072,2026cancmp,FIRST California Northern State Championship,0.668229
6072,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.23845
9772,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.0890195
1972,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.034745
3482,2026cancmp,FIRST California Northern State Championship,0.316562
7413,2026cancmp,FIRST California Northern State Championship,0.54937
2813,2026cancmp,FIRST California Northern State Championship,0.707329
4123,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.694733
1323,2026cancmp,FIRST California Northern State Championship,0.915712
7323,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.226984
8033,2026cancmp,FIRST California Northern State Championship,0.867858
8533,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.135289
2543,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.667602
2643,2026cancmp,FIRST California Northern State Championship,0.270015
4643,2026cancmp,FIRST California Northern State Championship,0.137255
3863,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.0199146
2073,2026cancmp,FIRST California Northern State Championship,0.527952
2473,2026cancmp,FIRST California Northern State Championship,0.440166
3473,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.0315609
9573,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.151767
4973,2026cancmp,FIRST California Northern State Championship,0.0817842
8793,2026cancmp,FIRST California Northern State Championship,0.996865
5104,2026cancmp,FIRST California Northern State Championship,0.563853
2204,2026cancmp,FIRST California Northern State Championship,0.655565
2404,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.226984
8404,2026cancmp,FIRST California Northern State Championship,0.156966
3704,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.275328
4904,2026cancmp,FIRST California Northern State Championship,0.305289
6904,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.188009
9114,2026cancmp,FIRST California Northern State Championship,0.134799
4414,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.946948
5514,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.354433
6814,2026cancmp,FIRST California Northern State Championship,0.201105
5124,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.76514
5924,2026cancmp,FIRST California Northern State Championship,0.455132
6934,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.23845
1854,2026cancmp,FIRST California Northern State Championship,0.266178
2854,2026cancmp,FIRST California Northern State Championship,0.316562
6764,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.0552379
4964,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.226984
5274,2026cancmp,FIRST California Northern State Championship,0.167586
5474,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.268836
9084,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.658211
2584,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.937409
9584,2026cancmp,FIRST California Northern State Championship,0.619094
6884,2026cancmp,FIRST California Northern State Championship,0.0984804
2984,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.500444
4984,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.392212
6305,2026cancmp,FIRST California Northern State Championship,0.685671
9505,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.135289
5805,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.8772
4415,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.949782
7415,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.124425
1515,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.196313
6515,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.766598
9615,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.151767
5025,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.164753
9125,2026cancmp,FIRST California Northern State Championship,0.0984804
3925,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.119059
2035,2026cancmp,FIRST California Northern State Championship,0.66019
2135,2026cancmp,FIRST California Northern State Championship,0.563853
4135,2026cancmp,FIRST California Northern State Championship,0.134799
5835,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.343848
3045,2026cancmp,FIRST California Northern State Championship,0.719515
8045,2026cancmp,FIRST California Northern State Championship,0.0984804
7245,2026cancmp,FIRST California Northern State Championship,0.0969302
3255,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,1
4255,2026cancmp,FIRST California Northern State Championship,0.396422
6665,2026cancmp,FIRST California Northern State Championship,0.683886
4765,2026cancmp,FIRST California Northern State Championship,0.134799
3965,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.226984
5285,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.274868
2485,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.8772
6885,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.124425
3295,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.00380508
6695,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.188009
6995,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.949033
8006,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.191125
6506,2026cancmp,FIRST California Northern State Championship,0.0984804
9706,2026cancmp,FIRST California Northern State Championship,0.10885
8016,2026cancmp,FIRST California Northern State Championship,0.377211
5026,2026cancmp,FIRST California Northern State Championship,0.878239
6036,2026cancmp,FIRST California Northern State Championship,0.465531
5136,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.937409
1836,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.5253
3256,2026cancmp,FIRST California Northern State Championship,0.762194
4276,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.034745
3476,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.728819
