Team #,CMP,Event,P(DCMP)
4,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.268723
8,2026cancmp,FIRST California Northern State Championship,0.991265
22,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.231263
100,2026cancmp,FIRST California Northern State Championship,0.445509
840,2026cancmp,FIRST California Northern State Championship,0.423089
670,2026cancmp,FIRST California Northern State Championship,0.456926
980,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.356666
701,2026cancmp,FIRST California Northern State Championship,0.252554
841,2026cancmp,FIRST California Northern State Championship,0.445313
751,2026cancmp,FIRST California Northern State Championship,0.182452
971,2026cancmp,FIRST California Northern State Championship,1
581,2026cancmp,FIRST California Northern State Championship,0.892637
691,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.209554
702,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.571146
812,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.275265
852,2026cancmp,FIRST California Northern State Championship,0.232532
972,2026cancmp,FIRST California Northern State Championship,0.666276
192,2026cancmp,FIRST California Northern State Championship,0.31917
253,2026cancmp,FIRST California Northern State Championship,0.0728819
973,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.909175
604,2026cancmp,FIRST California Northern State Championship,1
114,2026cancmp,FIRST California Northern State Championship,0.411838
254,2026cancmp,FIRST California Northern State Championship,0.91597
294,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.78029
115,2026cancmp,FIRST California Northern State Championship,0.403373
846,2026cancmp,FIRST California Northern State Championship,0.675677
766,2026cancmp,FIRST California Northern State Championship,0.666276
696,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.755274
867,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.135193
687,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.560219
597,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.394507
668,2026cancmp,FIRST California Northern State Championship,0.411838
968,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.099542
649,2026cancmp,FIRST California Northern State Championship,0.46691
589,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.590007
199,2026cancmp,FIRST California Northern State Championship,0.231389
399,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.73644
