Team #,CMP,Event,P(DCMP),P(CMP)
4,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.88347,0.141007
8,2026cancmp,"FIRST California Northern State Championship",0.983008,0.435289
22,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.0431735,0.00201787
100,2026cancmp,"FIRST California Northern State Championship",0.183554,0.0199931
840,2026cancmp,"FIRST California Northern State Championship",0.980138,0.374807
670,2026cancmp,"FIRST California Northern State Championship",0.999993,0.10104
980,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.362097,0.0272597
701,2026cancmp,"FIRST California Northern State Championship",0.185512,0.0153636
841,2026cancmp,"FIRST California Northern State Championship",0.646226,0.0993541
751,2026cancmp,"FIRST California Northern State Championship",0.127193,0.0121646
971,2026cancmp,"FIRST California Northern State Championship",1,0.586184
581,2026cancmp,"FIRST California Northern State Championship",1,0.717237
691,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.0364096,0.00191626
702,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.465966,0.036022
812,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.88347,0.141007
852,2026cancmp,"FIRST California Northern State Championship",0.185512,0.0153636
972,2026cancmp,"FIRST California Northern State Championship",0.960876,0.280489
192,2026cancmp,"FIRST California Northern State Championship",0.772641,0.13711
253,2026cancmp,"FIRST California Northern State Championship",0.991924,0.43534
973,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",1,0.750824
604,2026cancmp,"FIRST California Northern State Championship",1,0.750824
114,2026cancmp,"FIRST California Northern State Championship",1,0.538828
254,2026cancmp,"FIRST California Northern State Championship",1,0.935859
294,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.999025,0.435713
115,2026cancmp,"FIRST California Northern State Championship",0.619117,0.087246
846,2026cancmp,"FIRST California Northern State Championship",0.839512,0.202575
766,2026cancmp,"FIRST California Northern State Championship",0.0966014,0.00742957
696,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.724491,0.239715
867,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.0161571,0.000601081
687,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",1,0.672894
597,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.285125,0.0234561
668,2026cancmp,"FIRST California Northern State Championship",0.0731751,0.00503997
968,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.0639612,0.00432208
649,2026cancmp,"FIRST California Northern State Championship",0.528051,0.0713891
589,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",1,0.469548
199,2026cancmp,"FIRST California Northern State Championship",0.0318757,0.00325231
399,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.645976,0.060491
599,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.983714,0.281351
6000,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.0161571,0.000601081
9400,2026cancmp,"FIRST California Northern State Championship",0.983008,0.435289
5500,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.0118191,0.000658153
1700,2026cancmp,"FIRST California Northern State Championship",0.185512,0.0153636
5700,2026cancmp,"FIRST California Northern State Championship",0.357501,0.042299
6410,2026cancmp,"FIRST California Northern State Championship",0.01017,0.0007783
2710,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",1,0.0855554
3020,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.0434801,0.00168143
6220,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.690412,0.0770719
9520,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.0572105,0.00281694
7230,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.518612,0.0478346
5430,2026cancmp,"FIRST California Northern State Championship",0.00180347,0.000106141
9730,2026cascmp,"FIRST California Southern State Championship presented by Qualcomm",0.156651,0.00958569
